dataset,image_id,method,height,width,preproc_time_s,filter_time_s,odps_time_s,total_time_s,magnitude_min,magnitude_max,magnitude_mean,status,error_message
BSDS500,100007,GWi,321,481,0.009472,0.012859,,0.022332,0.0000,4.0830,0.4434,OK,
BSDS500,100007,GWi_odps,321,481,0.009472,0.020528,0.006320,0.036320,0.0000,4.0830,0.2178,OK,
BSDS500,100007,GWC,321,481,0.009472,0.023897,,0.033369,0.0000,5.8645,1.3278,OK,
BSDS500,100007,Canny,321,481,0.009472,0.002412,,0.011884,0.0000,424.4997,44.6385,OK,
BSDS500,100007,Sobel,321,481,0.009472,0.002202,,0.011674,0.0000,927.3878,96.9666,OK,
BSDS500,100007,LoG,321,481,0.009472,0.001354,,0.010826,0.0000,38.0000,3.5207,OK,
BSDS500,100007,ED,321,481,0.009472,0.004146,,0.013619,0.0000,255.0000,55.2574,OK,
BSDS500,100007,PC,321,481,0.009472,0.319995,,0.329467,0.0000,0.6147,0.0211,OK,
BSDS500,100039,GWi,321,481,0.006072,0.011331,,0.017404,0.0000,4.5470,0.7827,OK,
BSDS500,100039,GWi_odps,321,481,0.006072,0.018872,0.005868,0.030812,0.0000,4.5470,0.3645,OK,
BSDS500,100039,GWC,321,481,0.006072,0.023780,,0.029853,0.0000,6.0143,1.6642,OK,
BSDS500,100039,Canny,321,481,0.006072,0.003079,,0.009151,0.0000,446.4012,76.2555,OK,
BSDS500,100039,Sobel,321,481,0.006072,0.002740,,0.008812,0.0000,977.2471,173.7560,OK,
BSDS500,100039,LoG,321,481,0.006072,0.001516,,0.007589,0.0000,51.0000,6.0722,OK,
BSDS500,100039,ED,321,481,0.006072,0.005621,,0.011694,0.0000,255.0000,60.6496,OK,
BSDS500,100039,PC,321,481,0.006072,0.351439,,0.357512,0.0000,0.4352,0.0129,OK,
BSDS500,100099,GWi,321,481,0.007011,0.012520,,0.019531,0.0000,4.2886,0.4042,OK,
BSDS500,100099,GWi_odps,321,481,0.007011,0.024312,0.006444,0.037767,0.0000,4.2886,0.1876,OK,
BSDS500,100099,GWC,321,481,0.007011,0.027213,,0.034223,0.0000,4.9803,1.2862,OK,
BSDS500,100099,Canny,321,481,0.007011,0.003018,,0.010028,0.0000,475.7899,51.6548,OK,
BSDS500,100099,Sobel,321,481,0.007011,0.002319,,0.009330,0.0000,1019.2752,87.0952,OK,
BSDS500,100099,LoG,321,481,0.007011,0.001303,,0.008314,0.0000,40.0000,3.1345,OK,
BSDS500,100099,ED,321,481,0.007011,0.004159,,0.011170,0.0000,255.0000,43.6404,OK,
BSDS500,100099,PC,321,481,0.007011,0.352534,,0.359544,0.0000,0.5927,0.0345,OK,
BSDS500,10081,GWi,321,481,0.006443,0.012075,,0.018518,0.0000,4.6673,0.4370,OK,
BSDS500,10081,GWi_odps,321,481,0.006443,0.019302,0.006131,0.031877,0.0000,4.6673,0.2296,OK,
BSDS500,10081,GWC,321,481,0.006443,0.024160,,0.030603,0.0000,6.2783,1.3713,OK,
BSDS500,10081,Canny,321,481,0.006443,0.002570,,0.009014,0.0000,463.2429,45.7314,OK,
BSDS500,10081,Sobel,321,481,0.006443,0.002339,,0.008783,0.0000,1020.0951,90.5956,OK,
BSDS500,10081,LoG,321,481,0.006443,0.001377,,0.007821,0.0000,50.0000,3.6344,OK,
BSDS500,10081,ED,321,481,0.006443,0.003590,,0.010033,0.0000,255.0000,40.3951,OK,
BSDS500,10081,PC,321,481,0.006443,0.346762,,0.353206,0.0000,0.6931,0.0280,OK,
BSDS500,101027,GWi,321,481,0.006339,0.011130,,0.017469,0.0000,4.2179,0.5144,OK,
BSDS500,101027,GWi_odps,321,481,0.006339,0.020373,0.005967,0.032679,0.0000,4.2179,0.2441,OK,
BSDS500,101027,GWC,321,481,0.006339,0.024475,,0.030814,0.0095,4.8685,1.4012,OK,
BSDS500,101027,Canny,321,481,0.006339,0.002401,,0.008740,0.0000,445.1359,49.9794,OK,
BSDS500,101027,Sobel,321,481,0.006339,0.002032,,0.008372,0.0000,993.3710,108.9567,OK,
BSDS500,101027,LoG,321,481,0.006339,0.001253,,0.007592,0.0000,49.0000,3.9538,OK,
BSDS500,101027,ED,321,481,0.006339,0.004786,,0.011125,0.0000,255.0000,54.5951,OK,
BSDS500,101027,PC,321,481,0.006339,0.336007,,0.342346,0.0000,0.6806,0.0189,OK,
BSDS500,101084,GWi,481,321,0.009178,0.014023,,0.023200,0.0000,4.3461,0.7727,OK,
BSDS500,101084,GWi_odps,481,321,0.009178,0.024237,0.007440,0.040854,0.0000,4.3461,0.3647,OK,
BSDS500,101084,GWC,481,321,0.009178,0.041014,,0.050192,0.0089,5.0491,1.6691,OK,
BSDS500,101084,Canny,481,321,0.009178,0.003148,,0.012326,0.0000,464.8376,66.7713,OK,
BSDS500,101084,Sobel,481,321,0.009178,0.002550,,0.011727,0.0000,1000.4289,168.5133,OK,
BSDS500,101084,LoG,481,321,0.009178,0.001418,,0.010596,0.0000,45.0000,5.3150,OK,
BSDS500,101084,ED,481,321,0.009178,0.005850,,0.015028,0.0000,255.0000,59.5266,OK,
BSDS500,101084,PC,481,321,0.009178,0.373722,,0.382900,0.0000,0.5300,0.0155,OK,
BSDS500,102062,GWi,321,481,0.006181,0.010944,,0.017125,0.0049,4.8901,0.8150,OK,
BSDS500,102062,GWi_odps,321,481,0.006181,0.019368,0.006514,0.032063,0.0000,4.8901,0.3799,OK,
BSDS500,102062,GWC,321,481,0.006181,0.026750,,0.032930,0.0089,6.0483,1.6713,OK,
BSDS500,102062,Canny,321,481,0.006181,0.002540,,0.008721,0.0000,457.6898,73.9053,OK,
BSDS500,102062,Sobel,321,481,0.006181,0.002385,,0.008566,0.0000,1062.2703,179.5110,OK,
BSDS500,102062,LoG,321,481,0.006181,0.001442,,0.007623,0.0000,49.0000,5.9106,OK,
BSDS500,102062,ED,321,481,0.006181,0.005585,,0.011765,0.0000,255.0000,63.9065,OK,
BSDS500,102062,PC,321,481,0.006181,0.349474,,0.355655,0.0000,0.4153,0.0122,OK,
BSDS500,103006,GWi,321,481,0.006916,0.012107,,0.019022,0.0000,4.2724,0.5517,OK,
BSDS500,103006,GWi_odps,321,481,0.006916,0.022201,0.006344,0.035461,0.0000,4.2724,0.2666,OK,
